지점,지점명,일시,합계 일사량(MJ/m2)
102,백령도,2024-07,461.47
102,백령도,2024-08,630.5
102,백령도,2024-09,490.53
102,백령도,2024-10,415.35
102,백령도,2024-11,286.37
102,백령도,2024-12,225.33
102,백령도,2025-01,248.24
102,백령도,2025-02,335.2
102,백령도,2025-03,546.63
102,백령도,2025-04,588.66
102,백령도,2025-05,585.58
102,백령도,2025-06,623
102,백령도,2025-07,613.66
102,백령도,2025-08,546.37
102,백령도,2025-09,487.43
102,백령도,2025-10,324.99
102,백령도,2025-11,289.57
102,백령도,2025-12,228.28
104,북강릉,2016-01,380.33
104,북강릉,2016-02,425.09
104,북강릉,2016-03,516.41
104,북강릉,2016-04,483.66
104,북강릉,2016-05,610.87
104,북강릉,2016-06,491.76
104,북강릉,2016-07,379.48
104,북강릉,2016-08,491.02
104,북강릉,2016-09,266.9
104,북강릉,2016-10,227.82
104,북강릉,2016-11,212.43
104,북강릉,2016-12,191.19
104,북강릉,2017-01,262.13
104,북강릉,2017-02,338.65
104,북강릉,2017-03,407.54
104,북강릉,2017-04,597.12
104,북강릉,2017-05,670.85
104,북강릉,2017-06,654.73
104,북강릉,2017-07,469.56
104,북강릉,2017-08,366.14
104,북강릉,2017-09,507.51
104,북강릉,2017-10,288.74
104,북강릉,2017-11,291.06
104,북강릉,2017-12,277.53
104,북강릉,2018-01,303.7
104,북강릉,2018-02,358.05
104,북강릉,2018-03,428.17
104,북강릉,2018-04,525.68
104,북강릉,2018-05,534.29
104,북강릉,2018-06,609.58
104,북강릉,2018-07,567.85
104,북강릉,2018-08,457.4
104,북강릉,2018-09,415.04
104,북강릉,2018-10,387.21
104,북강릉,2018-11,250.11
104,북강릉,2018-12,257.08
104,북강릉,2019-01,292.22
104,북강릉,2019-02,336.83
104,북강릉,2019-03,456.16
104,북강릉,2019-04,524.24
104,북강릉,2019-05,701.38
104,북강릉,2019-06,590.61
104,북강릉,2019-07,516.77
104,북강릉,2019-08,511.3
104,북강릉,2019-09,316.98
104,북강릉,2019-10,305.79
104,북강릉,2019-11,259.21
104,북강릉,2019-12,242.07
104,북강릉,2020-01,225.7
104,북강릉,2020-02,333.45
104,북강릉,2020-03,524.42
104,북강릉,2020-04,575.53
104,북강릉,2020-05,610.46
104,북강릉,2020-06,614.57
104,북강릉,2020-07,455.43
104,북강릉,2020-08,381.59
104,북강릉,2020-09,382.88
104,북강릉,2020-10,398.42
104,북강릉,2020-11,287.07
104,북강릉,2020-12,274.19
104,북강릉,2021-01,278.85
104,북강릉,2021-02,352.26
104,북강릉,2021-03,446.67
104,북강릉,2021-04,578.24
104,북강릉,2021-05,592.14
104,북강릉,2021-06,561.15
104,북강릉,2021-07,671.93
104,북강릉,2021-08,391.2
104,북강릉,2021-09,416.25
104,북강릉,2021-10,321.45
104,북강릉,2021-11,296.63
104,북강릉,2021-12,266.08
104,북강릉,2022-01,302.22
104,북강릉,2022-02,396.95
104,북강릉,2022-03,420.32
104,북강릉,2022-04,595.05
104,북강릉,2022-05,719.79
104,북강릉,2022-06,530.29
104,북강릉,2022-07,507.58
104,북강릉,2022-08,416.99
104,북강릉,2022-09,474.09
104,북강릉,2022-10,330.84
104,북강릉,2022-11,299.58
104,북강릉,2022-12,300.25
104,북강릉,2023-01,314.88
104,북강릉,2023-02,325.72
104,북강릉,2023-03,480.05
104,북강릉,2023-04,552.81
